1664,107808,228000,268672,443904,484768,615552,694688,841760,883584,1025024,1075008,1226944,1252192,1399520,1484736
1696,107776,227968,268704,443936,484736,615584,694656,841728,883616,1025056,1075040,1226976,1252160,1399488,1484768
1728,107872,228064,268736,443968,484832,615616,694752,841824,883648,1025088,1074944,1226880,1252128,1399456,1484672
1760,107840,228032,268768,444000,484800,615648,694720,841792,883680,1025120,1074976,1226912,1252096,1399424,1484704
1792,107680,228128,268288,444288,484384,615680,694304,842144,883200,1025408,1074880,1227072,1252064,1399648,1484352
1824,107648,228096,268320,444320,484352,615712,694272,842112,883232,1025440,1074912,1227104,1252032,1399616,1484384
1856,107744,228192,268352,444352,484448,615744,694368,842208,883264,1025472,1074816,1227008,1252000,1399584,1484288
1888,107712,228160,268384,444384,484416,615776,694336,842176,883296,1025504,1074848,1227040,1251968,1399552,1484320
1920,107552,228256,268416,444160,484512,615808,694432,842016,883328,1025280,1074752,1227200,1251936,1399776,1484480
1952,107520,228224,268448,444192,484480,615840,694400,841984,883360,1025312,1074784,1227232,1251904,1399744,1484512
1984,107616,228320,268480,444224,484576,615872,694496,842080,883392,1025344,1074688,1227136,1251872,1399712,1484416
2016,107584,228288,268512,444256,484544,615904,694464,842048,883424,1025376,1074720,1227168,1251840,1399680,1484448
2048,109472,226336,268032,444544,486176,616960,694048,841376,881920,1026688,1075648,1226304,1250784,1397856,1485120
2080,109440,226304,268064,444576,486144,616992,694016,841344,881952,1026720,1075680,1226336,1250752,1397824,1485152
2112,109536,226400,268096,444608,486240,617024,694112,841440,881984,1026752,1075584,1226240,1250720,1397792,1485056
2144,109504,226368,268128,444640,486208,617056,694080,841408,882016,1026784,1075616,1226272,1250688,1397760,1485088
2176,109344,226464,268160,444416,486304,617088,694176,841248,882048,1026560,1075520,1226432,1250656,1397984,1485248
2208,109312,226432,268192,444448,486272,617120,694144,841216,882080,1026592,1075552,1226464,1250624,1397952,1485280
2240,109408,226528,268224,444480,486368,617152,694240,841312,882112,1026624,1075456,1226368,1250592,1397920,1485184
2272,109376,226496,268256,444512,486336,617184,694208,841280,882144,1026656,1075488,1226400,1250560,1397888,1485216
2304,109216,226592,267776,444800,485920,617216,693792,841632,881664,1026944,1075392,1226560,1250528,1398112,1484864
2336,109184,226560,267808,444832,485888,617248,693760,841600,881696,1026976,1075424,1226592,1250496,1398080,1484896
2368,109280,226656,267840,444864,485984,617280,693856,841696,881728,1027008,1075328,1226496,1250464,1398048,1484800
2400,109248,226624,267872,444896,485952,617312,693824,841664,881760,1027040,1075360,1226528,1250432,1398016,1484832
2432,109088,226720,267904,444672,486048,617344,693920,841504,881792,1026816,1075264,1226688,1250400,1398240,1484992
2464,109056,226688,267936,444704,486016,617376,693888,841472,881824,1026848,1075296,1226720,1250368,1398208,1485024
2496,109152,226784,267968,444736,486112,617408,693984,841568,881856,1026880,1075200,1226624,1250336,1398176,1484928
2528,109120,226752,268000,444768,486080,617440,693952,841536,881888,1026912,1075232,1226656,1250304,1398144,1484960
2560,108960,226848,267520,445056,485664,616448,693536,840864,882432,1026176,1076160,1225792,1251296,1398368,1485632
2592,108928,226816,267552,445088,485632,616480,693504,840832,882464,1026208,1076192,1225824,1251264,1398336,1485664
2624,109024,226912,267584,445120,485728,616512,693600,840928,882496,1026240,1076096,1225728,1251232,1398304,1485568
2656,108992,226880,267616,445152,485696,616544,693568,840896,882528,1026272,1076128,1225760,1251200,1398272,1485600
2688,108832,226976,267648,444928,485792,616576,693664,840736,882560,1026048,1076032,1225920,1251168,1398496,1485760
2720,108800,226944,267680,444960,485760,616608,693632,840704,882592,1026080,1076064,1225952,1251136,1398464,1485792
2752,108896,227040,267712,444992,485856,616640,693728,840800,882624,1026112,1075968,1225856,1251104,1398432,1485696
2784,108864,227008,267744,445024,485824,616672,693696,840768,882656,1026144,1076000,1225888,1251072,1398400,1485728
2816,108704,227104,267264,445312,485408,616704,693280,841120,882176,1026432,1075904,1226048,1251040,1398624,1485376
2848,108672,227072,267296,445344,485376,616736,693248,841088,882208,1026464,1075936,1226080,1251008,1398592,1485408
2880,108768,227168,267328,445376,485472,616768,693344,841184,882240,1026496,1075840,1225984,1250976,1398560,1485312
2912,108736,227136,267360,445408,485440,616800,693312,841152,882272,1026528,1075872,1226016,1250944,1398528,1485344
2944,108576,227232,267392,445184,485536,616832,693408,840992,882304,1026304,1075776,1226176,1250912,1398752,1485504
2976,108544,227200,267424,445216,485504,616864,693376,840960,882336,1026336,1075808,1226208,1250880,1398720,1485536
3008,108640,227296,267456,445248,485600,616896,693472,841056,882368,1026368,1075712,1226112,1250848,1398688,1485440
3040,108608,227264,267488,445280,485568,616928,693440,841024,882400,1026400,1075744,1226144,1250816,1398656,1485472
3072,110496,225312,267008,445568,487200,617984,693024,840352,880896,1027712,1076672,1225280,1249760,1396832,1486144
3104,110464,225280,267040,445600,487168,618016,692992,840320,880928,1027744,1076704,1225312,1249728,1396800,1486176
3136,110560,225376,267072,445632,487264,618048,693088,840416,880960,1027776,1076608,1225216,1249696,1396768,1486080
3168,110528,225344,267104,445664,487232,618080,693056,840384,880992,1027808,1076640,1225248,1249664,1396736,1486112
3200,110368,225440,267136,445440,487328,618112,693152,840224,881024,1027584,1076544,1225408,1249632,1396960,1486272
3232,110336,225408,267168,445472,487296,618144,693120,840192,881056,1027616,1076576,1225440,1249600,1396928,1486304
